model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,20251007,76,76,0,100.0,25083.75
Logistic,20251007,76,76,0,100.0,25083.75
RF,20251007,76,76,0,100.0,25083.75
XGB,20251007,76,0,76,0.0,25072.55
