model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-09-26,74,37,37,50.0,77.7368
Logistic,2025-09-26,74,37,37,50.0,77.7368
RF,2025-09-26,74,37,37,50.0,70.2058
XGB,2025-09-26,74,37,37,50.0,70.2058
