model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-09-12,74,42,32,56.76,16.8798
Logistic,2025-09-12,74,32,42,43.24,18.6639
RF,2025-09-12,74,42,32,56.76,16.8798
XGB,2025-09-12,74,42,32,56.76,16.8798
