model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2026-01-08,74,39,35,52.7,58.819
Logistic,2026-01-08,74,39,35,52.7,58.819
RF,2026-01-08,74,35,39,47.3,67.8468
XGB,2026-01-08,74,39,35,52.7,58.819
