trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes,security,mkt,open,high,low,close,net_trdval,net_trdqty,trades,ind_sec,corp_ind,hi_52_wk,lo_52_wk,pd_source_file,pd_mapped,_pd_lookup_key
2026-03-20,IKIO,circuit,circuit,,       117.36,,,"{""status"": ""L""}",IKIO TECHNOLOGIES LIMITED,N,       117.70,       120.63,       116.51,       116.98,                 15893197.42,134217,2460,N, ,       304.00,       116.51,pd20032026.csv,True,IKIO
2026-03-20,INDIGOPNTS,circuit,circuit,,       744.40,,,"{""status"": ""L""}",INDIGO PAINTS LIMITED,N,       747.95,       761.55,       734.15,       743.75,                131420516.20,175106,10684,N, ,      1345.90,       734.15,pd20032026.csv,True,INDIGOPNTS
2026-03-20,RETAIL,circuit,circuit,,        19.41,,,"{""status"": ""L""}",JHS SVENDGAARD RETAIL V L,N,        20.00,        20.50,        19.12,        19.13,                    36326.77,1869,28,N, ,        44.45,        19.12,pd20032026.csv,True,RETAIL
2026-03-20,RUSTOMJEE,circuit,circuit,,       373.15,,,"{""status"": ""L""}",KEYSTONE REALTORS LIMITED,N,       373.15,       389.90,       370.00,       375.05,                 22943008.30,61268,2885,N, ,       697.00,       370.00,pd20032026.csv,True,RUSTOMJEE
2026-03-20,LATENTVIEW,circuit,circuit,,       269.35,,,"{""status"": ""L""}",LATENT VIEW ANALYTICS LTD,N,       273.00,       274.65,       265.90,       267.35,                205593686.30,762761,22019,N, ,       517.50,       265.90,pd20032026.csv,True,LATENTVIEW
2026-03-20,MVGJL,circuit,circuit,,       144.74,,,"{""status"": ""L""}",MANOJ VAIBHAV GEM N JEW L,N,       145.00,       150.00,       142.10,       143.18,                 10045649.08,69220,1842,N, ,       280.00,       142.10,pd20032026.csv,True,MVGJL
2026-03-20,MAZDA,"circuit,gainer_loser",circuit,-2.87,       176.37,171.31,,"{""status"": ""L""}",MAZDA LIMITED,N,       180.42,       182.29,       170.13,       171.31,                  6366750.24,36596,1559,N, ,       337.77,       170.13,pd20032026.csv,True,MAZDA
2026-03-20,MEDICAMEQ,"circuit,gainer_loser",circuit,-3.15,       261.85,253.6,,"{""status"": ""L""}",MEDICAMEN BIOTECH LIMITED,N,       274.00,       274.00,       251.00,       253.60,                  9076113.75,35126,1377,N, ,       544.00,       251.00,pd20032026.csv,True,MEDICAMEQ
2026-03-20,METROPOLIS,circuit,circuit,,      1823.80,,,"{""status"": ""L""}",METROPOLIS HEALTHCARE LTD,N,       470.00,       474.00,       436.00,       441.10,                217957215.20,486555,27394,N,XB,      2263.00,       436.00,pd20032026.csv,True,METROPOLIS
2026-03-20,NAVKARURB,"circuit,gainer_loser",circuit,-2.25,         0.89,0.87,,"{""status"": ""L""}",NAVKAR URBANSTRUCTURE LTD,N,         0.89,         0.90,         0.85,         0.87,                   683409.98,780847,427,N, ,        15.30,         0.85,pd20032026.csv,True,NAVKARURB
2026-03-20,NIITMTS,"circuit,gainer_loser",circuit,4.4,       286.35,298.95,,"{""status"": ""L""}",NIIT LEARNING SYSTEMS LTD,N,       288.95,       301.80,       284.90,       298.95,                 29326333.25,100314,6187,N, ,       454.00,       284.90,pd20032026.csv,True,NIITMTS
2026-03-20,NOVAAGRI,"circuit,gainer_loser",circuit,-11.25,        25.60,22.72,,"{""status"": ""L""}",NOVA AGRITECH LIMITED,N,        24.70,        25.40,        22.58,        22.72,                 23766489.63,1017586,6265,N, ,        62.84,        22.58,pd20032026.csv,True,NOVAAGRI
2026-03-20,OMFREIGHT,circuit,circuit,,        71.29,,,"{""status"": ""L""}",OM FREIGHT FORWARDERS LTD,N,        71.00,        72.72,        70.00,        70.61,                  2630892.17,36914,495,N, ,       107.40,        70.00,pd20032026.csv,True,OMFREIGHT
2026-03-20,OSIAHYPER,"circuit,gainer_loser",circuit,-4.95,         5.25,4.99,,"{""status"": ""L""}",OSIA HYPER RETAIL LIMITED,N,         4.99,         4.99,         4.99,         4.99,                  5822741.18,1166882,922,N, ,        33.08,         4.99,pd20032026.csv,True,OSIAHYPER
2026-03-20,RKSWAMY,circuit,circuit,,        87.68,,,"{""status"": ""L""}",R K SWAMY LIMITED,N,        87.00,        88.37,        85.86,        86.17,                  4905025.32,56646,1157,N, ,       248.04,        85.86,pd20032026.csv,True,RKSWAMY
2026-03-20,RNBDENIMS,circuit,circuit,,        87.74,,,"{""status"": ""L""}",R&B DENIMS LIMITED,N,        83.36,        83.36,        83.36,        83.36,                  2229713.28,26748,416,N, ,       203.00,        83.36,pd20032026.csv,True,RNBDENIMS
2026-03-20,ROSSARI,circuit,circuit,,       415.95,,,"{""status"": ""L""}",ROSSARI BIOTECH LIMITED,N,       415.95,       430.50,       410.00,       411.35,                 24184121.90,58294,3986,N, ,       766.00,       410.00,pd20032026.csv,True,ROSSARI
2026-03-20,SADBHIN,"circuit,gainer_loser",circuit,-4.81,         2.70,2.57,,"{""status"": ""L""}",SADBHAV INFRA PROJ LTD.,N,         2.61,         2.72,         2.57,         2.57,                  2336395.81,900943,739,N, ,         5.70,         2.57,pd20032026.csv,True,SADBHIN
