trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes
2026-03-20,RIIL,gainer_loser,gainer_loser,12.31,636.65,715.0,,{}
2026-03-20,DEEPINDS,gainer_loser,gainer_loser,12.03,365.75,409.75,,{}
2026-03-20,UTTAMSUGAR,gainer_loser,gainer_loser,11.52,206.67,230.47,,{}
2026-03-20,BODALCHEM,gainer_loser,gainer_loser,11.24,49.13,54.65,,{}
2026-03-20,CENTRUM,gainer_loser,gainer_loser,10.85,23.4,25.94,,{}
2026-03-20,GUJALKALI,gainer_loser,gainer_loser,10.64,486.5,538.25,,{}
2026-03-20,HAPPSTMNDS,"gainer_loser,top_turnover",gainer_loser,10.55,371.65,410.85,12857090930.15,{}
2026-03-20,VALIANTLAB,gainer_loser,gainer_loser,10.51,55.29,61.1,,{}
2026-03-20,OLECTRA,gainer_loser,gainer_loser,9.65,1000.8,1097.4,,{}
2026-03-20,THOMASCOTT,gainer_loser,gainer_loser,9.27,250.15,273.35,,{}
2026-03-20,AWL,gainer_loser,gainer_loser,8.97,176.28,192.1,,{}
2026-03-20,SOLEX,gainer_loser,gainer_loser,8.87,927.45,1009.75,,{}
2026-03-20,DBEIL,gainer_loser,gainer_loser,8.8,67.17,73.08,,{}
2026-03-20,GUJAPOLLO,gainer_loser,gainer_loser,8.73,411.1,447.0,,{}
2026-03-20,TEAMGTY,gainer_loser,gainer_loser,8.64,247.0,268.35,,{}
2026-03-20,ELECTHERM,gainer_loser,gainer_loser,8.24,607.6,657.65,,{}
2026-03-20,AETHER,gainer_loser,gainer_loser,8.14,1068.55,1155.55,,{}
2026-03-20,RAYMONDLSL,gainer_loser,gainer_loser,8.08,804.2,869.2,,{}
2026-03-20,PFOCUS,gainer_loser,gainer_loser,8.0,256.15,276.65,,{}
2026-03-20,HITECHCORP,gainer_loser,gainer_loser,7.96,130.75,141.16,,{}
2026-03-20,IXIGO,gainer_loser,gainer_loser,7.93,160.79,173.54,,{}
2026-03-20,GMDCLTD,"gainer_loser,top_turnover",gainer_loser,7.78,534.15,575.7,18579132633.65,{}
2026-03-20,SUPERSPIN,gainer_loser,gainer_loser,7.36,4.21,4.52,,{}
2026-03-20,DALMIASUG,gainer_loser,gainer_loser,7.31,298.75,320.6,,{}
2026-03-20,INOXGREEN,gainer_loser,gainer_loser,7.21,140.28,150.4,,{}
2026-03-20,NPST,gainer_loser,gainer_loser,7.1,1032.6,1105.9,,{}
2026-03-20,GOCOLORS,gainer_loser,gainer_loser,7.1,257.15,275.4,,{}
2026-03-20,ACUTAAS,gainer_loser,gainer_loser,7.07,2241.3,2399.8,,{}
2026-03-20,AVADHSUGAR,gainer_loser,gainer_loser,7.04,426.1,456.1,,{}
