model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.4627949183303085,0.4821852731591449,0.7224199288256228,0.5783475783475783,0.4,0.1925925925925926,0.26,0.41917378917378917
RF,0.4827586206896552,0.49193548387096775,0.43416370106761565,0.4612476370510397,0.4752475247524752,0.5333333333333333,0.5026178010471204,0.4819327190490801
XGB,0.4791288566243194,0.484375,0.3309608540925267,0.39323467230443976,0.4763231197771588,0.6333333333333333,0.5437201907790143,0.46847743154172705
LGBM,0.4827586206896552,0.4880952380952381,0.2918149466192171,0.36525612472160357,0.4804177545691906,0.6814814814814815,0.5635528330781011,0.46440447889985237
