model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.46466431095406363,0.46017699115044247,0.7790262172284644,0.5785813630041725,0.4824561403508772,0.18394648829431437,0.26634382566585957,0.42246259433501604
RF,0.46819787985865724,0.46487603305785125,0.8426966292134831,0.5992010652463382,0.4878048780487805,0.13377926421404682,0.2099737532808399,0.40458740926358905
XGB,0.508833922261484,0.48231511254019294,0.5617977528089888,0.5190311418685121,0.5411764705882353,0.46153846153846156,0.4981949458483754,0.5086130438584437
LGBM,0.46819787985865724,0.4527777777777778,0.6104868913857678,0.5199362041467305,0.49514563106796117,0.3411371237458194,0.403960396039604,0.46194830009316723
