model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.5111876075731497,0.5140388768898488,0.8013468013468014,0.6263157894736842,0.5,0.20774647887323944,0.2935323383084577,0.45992406389107093
RF,0.504302925989673,0.5209302325581395,0.3771043771043771,0.4375,0.49453551912568305,0.6373239436619719,0.556923076923077,0.4972115384615385
XGB,0.5060240963855421,0.5208333333333334,0.4208754208754209,0.4655493482309125,0.49560117302052786,0.5950704225352113,0.5408,0.5031746741154562
LGBM,0.5129087779690189,0.5286885245901639,0.43434343434343436,0.47689463955637706,0.5014836795252225,0.5950704225352113,0.5442834138486312,0.5105890267025042
