model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.5477099236641222,0.0,0.0,0.0,0.5498084291187739,0.9930795847750865,0.7077681874229347,0.35388409371146734
RF,0.5229007633587787,0.463768115942029,0.4085106382978723,0.4343891402714932,0.5615141955835962,0.615916955017301,0.5874587458745875,0.5109239430730403
XGB,0.5229007633587787,0.47104247104247104,0.5191489361702127,0.4939271255060729,0.5735849056603773,0.5259515570934256,0.5487364620938628,0.5213317937999679
LGBM,0.5209923664122137,0.46551724137931033,0.4595744680851064,0.4625267665952891,0.565068493150685,0.5709342560553633,0.5679862306368331,0.515256498616061
