model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.49070631970260226,0.4067796610169492,0.09125475285171103,0.14906832298136646,0.5010438413361169,0.8727272727272727,0.636604774535809,0.39283654875858776
RF,0.48698884758364314,0.4856512141280353,0.8365019011406845,0.6145251396648045,0.49411764705882355,0.15272727272727274,0.23333333333333334,0.4239292364990689
XGB,0.4795539033457249,0.4817987152034261,0.8555133079847909,0.6164383561643836,0.4647887323943662,0.12,0.1907514450867052,0.4035949006255444
LGBM,0.5018587360594795,0.494279176201373,0.8212927756653993,0.6171428571428571,0.5346534653465347,0.19636363636363635,0.2872340425531915,0.4521884498480243
