model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,2025-10-24,76,0,76,0.0,25870.3
Logistic,2025-10-24,76,76,0,100.0,25875.3
RF,2025-10-24,76,0,76,0.0,25870.3
XGB,2025-10-24,76,0,76,0.0,25870.3
