model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,20250811,76,76,0,100.0,24349.2
Logistic,20250811,76,76,0,100.0,24349.2
RF,20250811,76,76,0,100.0,24349.2
XGB,20250811,76,76,0,100.0,24349.2
