model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.48881239242685026,0.48936170212765956,0.71875,0.5822784810126582,0.4873417721518987,0.2627986348122867,0.34146341463414637,0.4618709478234023
RF,0.5163511187607573,0.5207100591715976,0.3055555555555556,0.3851203501094092,0.5145631067961165,0.7235494880546075,0.601418439716312,0.4932693949128606
XGB,0.48881239242685026,0.47337278106508873,0.2777777777777778,0.350109409190372,0.49514563106796117,0.6962457337883959,0.5787234042553191,0.46441640672284557
LGBM,0.5111876075731497,0.5149253731343284,0.23958333333333334,0.32701421800947866,0.5100671140939598,0.7781569965870307,0.6162162162162163,0.4716152171128475
