Datetime,Close,High,Low,Open,Volume
2026-08-07 09:15:00+05:30,24592.19921875,24600.900390625,24535.05078125,24535.05078125,0
2026-08-07 09:20:00+05:30,24611.69921875,24620.0,24584.75,24593.25,0
2026-08-07 09:25:00+05:30,24601.599609375,24614.650390625,24600.5,24613.30078125,0
2026-08-07 09:30:00+05:30,24601.69921875,24611.94921875,24593.25,24604.0,0
2026-08-07 09:35:00+05:30,24604.400390625,24608.80078125,24598.400390625,24602.650390625,0
2026-08-07 09:40:00+05:30,24618.0,24618.650390625,24598.30078125,24604.650390625,0
2026-08-07 09:45:00+05:30,24611.099609375,24620.150390625,24600.80078125,24618.19921875,0
2026-08-07 09:50:00+05:30,24622.150390625,24625.80078125,24610.94921875,24610.94921875,0
2026-08-07 09:55:00+05:30,24626.5,24629.80078125,24617.94921875,24622.25,0
2026-08-07 10:00:00+05:30,24613.55078125,24627.05078125,24607.5,24625.80078125,0
2026-08-07 10:05:00+05:30,24613.19921875,24618.75,24609.69921875,24613.80078125,0
2026-08-07 10:10:00+05:30,24599.69921875,24614.900390625,24594.0,24613.19921875,0
2026-08-07 10:15:00+05:30,24576.900390625,24601.650390625,24570.80078125,24599.150390625,0
2026-08-07 10:20:00+05:30,24574.599609375,24587.80078125,24570.900390625,24577.150390625,0
2026-08-07 10:25:00+05:30,24566.900390625,24577.0,24562.94921875,24577.0,0
2026-08-07 10:30:00+05:30,24571.150390625,24572.94921875,24561.30078125,24566.55078125,0
2026-08-07 10:35:00+05:30,24574.75,24576.0,24566.69921875,24571.30078125,0
2026-08-07 10:40:00+05:30,24569.349609375,24576.599609375,24563.94921875,24574.849609375,0
2026-08-07 10:45:00+05:30,24577.44921875,24583.900390625,24569.400390625,24569.5,0
2026-08-07 10:50:00+05:30,24582.150390625,24586.5,24572.55078125,24577.099609375,0
2026-08-07 10:55:00+05:30,24570.349609375,24586.05078125,24569.5,24582.19921875,0
2026-08-07 11:00:00+05:30,24555.05078125,24575.25,24552.25,24572.150390625,0
2026-08-07 11:05:00+05:30,24567.05078125,24570.900390625,24555.150390625,24555.80078125,0
2026-08-07 11:10:00+05:30,24567.599609375,24571.099609375,24565.19921875,24567.19921875,0
2026-08-07 11:15:00+05:30,24562.849609375,24569.099609375,24558.44921875,24569.099609375,0
2026-08-07 11:20:00+05:30,24576.94921875,24577.55078125,24561.150390625,24562.650390625,0
2026-08-07 11:25:00+05:30,24584.80078125,24591.599609375,24575.099609375,24576.25,0
2026-08-07 11:30:00+05:30,24578.599609375,24586.599609375,24575.099609375,24584.75,0
2026-08-07 11:35:00+05:30,24585.69921875,24589.5,24576.099609375,24579.30078125,0
2026-08-07 11:40:00+05:30,24579.349609375,24587.05078125,24579.0,24587.05078125,0
2026-08-07 11:45:00+05:30,24563.150390625,24581.900390625,24563.150390625,24581.5,0
2026-08-07 11:50:00+05:30,24556.44921875,24565.80078125,24550.650390625,24564.0,0
2026-08-07 11:55:00+05:30,24560.94921875,24561.0,24555.349609375,24557.19921875,0
2026-08-07 12:00:00+05:30,24552.5,24563.44921875,24551.75,24562.5,0
2026-08-07 12:05:00+05:30,24551.44921875,24555.5,24545.75,24554.5,0
2026-08-07 12:10:00+05:30,24540.69921875,24553.099609375,24540.150390625,24552.55078125,0
2026-08-07 12:15:00+05:30,24537.44921875,24543.30078125,24532.900390625,24541.150390625,0
2026-08-07 12:20:00+05:30,24538.94921875,24546.94921875,24534.150390625,24537.900390625,0
2026-08-07 12:25:00+05:30,24549.5,24558.400390625,24536.19921875,24538.099609375,0
2026-08-07 12:30:00+05:30,24559.19921875,24561.05078125,24544.80078125,24550.0,0
2026-08-07 12:35:00+05:30,24560.5,24562.44921875,24555.900390625,24559.55078125,0
