model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-11-03,74,37,37,50.0,90.8776
Logistic,2025-11-03,74,37,37,50.0,90.8776
RF,2025-11-03,74,37,37,50.0,82.2594
XGB,2025-11-03,74,37,37,50.0,82.2594
