model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.45521023765996343,0.5308641975308642,0.1419141914191419,0.22395833333333334,0.44206008583690987,0.8442622950819673,0.5802816901408451,0.4021200117370892
RF,0.4753199268738574,0.5579710144927537,0.25412541254125415,0.3492063492063492,0.4474327628361858,0.75,0.5604900459418071,0.45484819757407813
XGB,0.46983546617915906,0.5380116959064327,0.30363036303630364,0.3881856540084388,0.43882978723404253,0.6762295081967213,0.532258064516129,0.46022185926228387
LGBM,0.4625228519195612,0.5483870967741935,0.16831683168316833,0.25757575757575757,0.44493392070484583,0.8278688524590164,0.5787965616045845,0.418186159590171
