model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,2025-11-21,76,0,76,0.0,26195.7
Logistic,2025-11-21,76,76,0,100.0,26197.4
RF,2025-11-21,76,0,76,0.0,26195.7
XGB,2025-11-21,76,0,76,0.0,26195.7
