model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.49909255898366606,0.4888888888888889,0.3235294117647059,0.3893805309734513,0.5040431266846361,0.6702508960573477,0.5753846153846154,0.4823825731790333
RF,0.4791288566243194,0.4675324675324675,0.39705882352941174,0.4294234592445328,0.4875,0.5591397849462365,0.5208681135225376,0.4751457863835352
XGB,0.49727767695099817,0.48677248677248675,0.3382352941176471,0.39913232104121477,0.5027624309392266,0.6523297491039427,0.5678627145085804,0.4834975177748976
LGBM,0.49364791288566245,0.48066298342541436,0.31985294117647056,0.3841059602649007,0.5,0.6630824372759857,0.5701078582434514,0.4771069092541761
