model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-09-15,74,36,38,48.65,101.7718
Logistic,2025-09-15,74,36,38,48.65,101.7718
RF,2025-09-15,74,36,38,48.65,101.7718
XGB,2025-09-15,74,36,38,48.65,101.7718
