Datetime,close_price_pred,Prediction,predicted_price,close_price_act,true_direction,was_correct,error_mag
2026-01-01 09:15:00,26127.55078125,0,26113.251953125,26167.80078125,0,True,54.548828125
2026-01-01 09:20:00,26127.55078125,0,26113.251953125,26161.099609375,1,False,47.84765625
2026-01-01 09:25:00,26127.55078125,0,26113.251953125,26187.19921875,0,True,73.947265625
2026-01-01 09:30:00,26127.55078125,0,26113.251953125,26180.099609375,0,True,66.84765625
2026-01-01 09:35:00,26127.55078125,0,26113.251953125,26167.650390625,1,False,54.3984375
2026-01-01 09:40:00,26127.55078125,0,26113.251953125,26181.55078125,1,False,68.298828125
2026-01-01 09:45:00,26127.55078125,0,26113.251953125,26188.55078125,1,False,75.298828125
2026-01-01 09:50:00,26127.55078125,0,26113.251953125,26189.099609375,0,True,75.84765625
2026-01-01 09:55:00,26127.55078125,0,26113.251953125,26157.19921875,1,False,43.947265625
2026-01-01 10:00:00,26127.55078125,0,26113.251953125,26171.69921875,0,True,58.447265625
2026-01-01 10:05:00,26127.55078125,0,26113.251953125,26165.849609375,0,True,52.59765625
2026-01-01 10:10:00,26127.55078125,0,26113.251953125,26151.150390625,0,True,37.8984375
2026-01-01 10:15:00,26127.55078125,0,26113.251953125,26132.150390625,1,False,18.8984375
2026-01-01 10:20:00,26127.55078125,0,26113.251953125,26136.349609375,1,False,23.09765625
2026-01-01 10:25:00,26127.55078125,0,26113.251953125,26157.349609375,1,False,44.09765625
2026-01-01 10:30:00,26127.55078125,0,26113.251953125,26166.0,0,True,52.748046875
2026-01-01 10:35:00,26127.55078125,0,26113.251953125,26162.099609375,0,True,48.84765625
2026-01-01 10:40:00,26127.55078125,0,26113.251953125,26161.349609375,1,False,48.09765625
2026-01-01 10:45:00,26127.55078125,0,26113.251953125,26182.25,0,True,68.998046875
2026-01-01 10:50:00,26127.55078125,0,26113.251953125,26179.5,0,True,66.248046875
2026-01-01 10:55:00,26127.55078125,0,26113.251953125,26170.94921875,0,True,57.697265625
2026-01-01 11:00:00,26127.55078125,0,26113.251953125,26164.849609375,0,True,51.59765625
