model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.4835589941972921,0.5098039215686274,0.19330855018587362,0.2803234501347709,0.4771084337349398,0.7983870967741935,0.5972850678733032,0.438804259004037
RF,0.4796905222437137,0.5,0.24535315985130113,0.32917705735660846,0.4727272727272727,0.7338709677419355,0.5750394944707741,0.4521082759136913
XGB,0.5009671179883946,0.544,0.2527881040892193,0.34517766497461927,0.4872448979591837,0.7701612903225806,0.596875,0.47102633248730963
LGBM,0.4932301740812379,0.5294117647058824,0.2342007434944238,0.3247422680412371,0.4824120603015075,0.7741935483870968,0.5944272445820433,0.4595847563116402
