model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.4890909090909091,0.46924829157175396,0.8110236220472441,0.5945165945165946,0.5675675675675675,0.21283783783783783,0.3095823095823096,0.45204945204945207
RF,0.48,0.45698924731182794,0.6692913385826772,0.5431309904153354,0.5280898876404494,0.31756756756756754,0.39662447257383965,0.46987773149458756
XGB,0.44727272727272727,0.4393203883495146,0.7125984251968503,0.5435435435435435,0.47101449275362317,0.2195945945945946,0.2995391705069124,0.421541357025228
LGBM,0.4581818181818182,0.4444444444444444,0.6929133858267716,0.5415384615384615,0.4935064935064935,0.25675675675675674,0.3377777777777778,0.43965811965811963
