model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.5082266910420475,0.545774647887324,0.5254237288135594,0.5354058721934369,0.467680608365019,0.4880952380952381,0.47766990291262135,0.5065378875530291
RF,0.4826325411334552,0.5340909090909091,0.31864406779661014,0.3991507430997877,0.4582210242587601,0.6746031746031746,0.5457463884430177,0.4724485657714027
XGB,0.5210237659963437,0.5457063711911357,0.6677966101694915,0.600609756097561,0.4731182795698925,0.3492063492063492,0.4018264840182648,0.5012181200579129
LGBM,0.5155393053016454,0.5392670157068062,0.6983050847457627,0.6085672082717873,0.46060606060606063,0.30158730158730157,0.3645083932853717,0.48653780077857955
