model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2026-02-16,74,37,37,50.0,253.8611
Logistic,2026-02-16,74,37,37,50.0,253.8611
RF,2026-02-16,74,37,37,50.0,253.8611
XGB,2026-02-16,74,37,37,50.0,253.8611
