model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,2025-12-02,76,76,0,100.0,26186.05
Logistic,2025-12-02,76,76,0,100.0,26186.05
RF,2025-12-02,76,76,0,100.0,26186.05
XGB,2025-12-02,76,76,0,100.0,26186.05
