model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,2025-11-20,76,76,0,100.0,26052.7
Logistic,2025-11-20,76,0,76,0.0,26041.8
RF,2025-11-20,76,0,76,0.0,26041.8
XGB,2025-11-20,76,0,76,0.0,26041.8
