model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-11-24,74,39,35,52.7,85.3627
Logistic,2025-11-24,74,35,39,47.3,80.4542
RF,2025-11-24,74,39,35,52.7,85.3627
XGB,2025-11-24,74,39,35,52.7,85.3627
