model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.4909090909090909,0.4461538461538462,0.10622710622710622,0.17159763313609466,0.49690721649484537,0.8700361010830325,0.6325459317585301,0.4020717824473124
RF,0.4890909090909091,0.4803921568627451,0.358974358974359,0.4109014675052411,0.49421965317919075,0.6173285198555957,0.5489566613162119,0.47992906441072647
XGB,0.44727272727272727,0.4205128205128205,0.30036630036630035,0.3504273504273504,0.4619718309859155,0.592057761732852,0.5189873417721519,0.43470734609975115
LGBM,0.48,0.4713656387665198,0.39194139194139194,0.428,0.48606811145510836,0.5667870036101083,0.5233333333333333,0.4756666666666667
