model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,2026-02-17,76,0,76,0.0,25682.45
Logistic,2026-02-17,76,0,76,0.0,25682.45
RF,2026-02-17,76,0,76,0.0,25682.45
XGB,2026-02-17,76,76,0,100.0,25692.75
