model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2026-01-05,74,46,28,62.16,140.725
Logistic,2026-01-05,74,46,28,62.16,140.725
RF,2026-01-05,74,46,28,62.16,140.725
XGB,2026-01-05,74,46,28,62.16,140.725
