model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-10-28,74,33,41,44.59,154.763
Logistic,2025-10-28,74,41,33,55.41,172.178
RF,2025-10-28,74,33,41,44.59,154.763
XGB,2025-10-28,74,33,41,44.59,154.763
