model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,2026-03-11,76,76,0,100.0,24296.55
Logistic,2026-03-11,76,0,76,0.0,24286.15
RF,2026-03-11,76,76,0,100.0,24296.55
XGB,2026-03-11,76,76,0,100.0,24296.55
