model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,2026-02-25,76,0,76,0.0,25421.95
Logistic,2026-02-25,76,0,76,0.0,25421.95
RF,2026-02-25,76,0,76,0.0,25421.95
XGB,2026-02-25,76,0,76,0.0,25421.95
