model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.5236363636363637,0.5,0.07251908396946564,0.12666666666666668,0.525390625,0.9340277777777778,0.6725,0.39958333333333335
RF,0.4781818181818182,0.47334754797441364,0.8473282442748091,0.6073871409028728,0.5061728395061729,0.1423611111111111,0.2222222222222222,0.4148046815625475
XGB,0.4727272727272727,0.4702127659574468,0.8435114503816794,0.6038251366120219,0.4875,0.13541666666666666,0.21195652173913043,0.4078908291755762
LGBM,0.48545454545454547,0.4745762711864407,0.7480916030534351,0.5807407407407408,0.5182481751824818,0.2465277777777778,0.3341176470588235,0.45742919389978215
