model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-09-08,74,37,37,50.0,50.249
Logistic,2025-09-08,74,37,37,50.0,51.603
RF,2025-09-08,74,37,37,50.0,50.249
XGB,2025-09-08,74,37,37,50.0,50.249
