model,date,total_bars,bullish,bearish,bullish_pct,predicted_close_mean
LGBM,20250717,76,0,76,0.0,25219.65
Logistic,20250717,76,0,76,0.0,25219.65
RF,20250717,76,76,0,100.0,25222.05
XGB,20250717,76,76,0,100.0,25222.05
