model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-12-30,74,43,31,58.11,72.5262
Logistic,2025-12-30,74,31,43,41.89,64.0921
RF,2025-12-30,74,43,31,58.11,72.5262
XGB,2025-12-30,74,43,31,58.11,72.5262
