model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.49256505576208176,0.40860215053763443,0.1484375,0.2177650429799427,0.5101123595505618,0.8049645390070922,0.624484181568088,0.4211246122740154
RF,0.48698884758364314,0.48023715415019763,0.94921875,0.6377952755905512,0.59375,0.0673758865248227,0.12101910828025478,0.37940719193540295
XGB,0.48141263940520446,0.4766734279918864,0.91796875,0.6275033377837116,0.5333333333333333,0.0851063829787234,0.14678899082568808,0.38714616430469984
LGBM,0.4944237918215613,0.48253275109170307,0.86328125,0.6190476190476191,0.5625,0.1595744680851064,0.24861878453038674,0.4338332017890029
