model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-08-01,9,3,6,33.33,9.3079
Logistic,2025-08-01,9,3,6,33.33,9.3079
RF,2025-08-01,9,3,6,33.33,9.3079
XGB,2025-08-01,9,6,3,66.67,13.2656
