model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-12-03,74,37,37,50.0,119.2157
Logistic,2025-12-03,74,37,37,50.0,119.2157
RF,2025-12-03,74,37,37,50.0,119.2157
XGB,2025-12-03,74,37,37,50.0,119.2157
