model,date,total_bars,correct,incorrect,accuracy_pct,avg_error_mag
LGBM,2025-09-24,74,39,35,52.7,48.8239
Logistic,2025-09-24,74,35,39,47.3,49.553
RF,2025-09-24,74,39,35,52.7,48.8239
XGB,2025-09-24,74,39,35,52.7,48.8239
