model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.5209923664122137,0.0,0.0,0.0,0.5209923664122137,1.0,0.685069008782936,0.342534504391468
RF,0.5038167938931297,0.4896551724137931,0.848605577689243,0.6209912536443148,0.5730337078651685,0.18681318681318682,0.281767955801105,0.4513796047227099
XGB,0.5095419847328244,0.49246231155778897,0.7808764940239044,0.6040061633281972,0.5634920634920635,0.2600732600732601,0.3558897243107769,0.4799479438194871
LGBM,0.5095419847328244,0.49282296650717705,0.8207171314741036,0.6158445440956651,0.5754716981132075,0.22344322344322345,0.32189973614775724,0.4688721401217112
