model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
Logistic,0.5327272727272727,0.42424242424242425,0.05555555555555555,0.09824561403508772,0.539651837524178,0.9362416107382551,0.6846625766871166,0.39145409536110215
RF,0.4690909090909091,0.4418604651162791,0.6031746031746031,0.5100671140939598,0.5145631067961165,0.35570469798657717,0.42063492063492064,0.4653510173644402
XGB,0.48363636363636364,0.45789473684210524,0.6904761904761905,0.5506329113924051,0.5411764705882353,0.3087248322147651,0.39316239316239315,0.4718976522773991
LGBM,0.48727272727272725,0.46134020618556704,0.7103174603174603,0.559375,0.5493827160493827,0.2986577181208054,0.3869565217391304,0.4731657608695652
